JOB TITLE,MIN SALARY ESTIMATION,MAX SALARY ESTIMATION,RATING,COMPANY NAME,LOCATION,HEAD QUARTERS,COMPANY AGE,COMPANY TYPE,INDUSTRY,SECTOR,REVENUE,data_job_role,EXCEL,SQL,PYTHON,TABLEAU,POWER BI,BACHELOR'S DEGREE REQUIREMENT,MASTER'S DEGREE REQUIREMENT,PHD DEGREE REQUIREMENT,COMPANY_AGE,COMPANY_SIZE
Sr Data Scientist,137000,171000,3.1,Healthfirst,"New York, NY","New York, NY",30,NPO,Insurance Carriers,Insurance,-1,scientist,0,0,0,0,0,1,0,0,30,L
Data Scientist,137000,171000,4.2,ManTech,"Chantilly, VA","Herndon, VA",55,Public,Research & Development,Business Services,$1 to $2 billion,scientist,0,1,0,0,0,0,0,0,55,L
Data Scientist,137000,171000,3.8,Analysis Group,"Boston, MA","Boston, MA",42,Private,Consulting,Business Services,$100 to $500 million,scientist,1,0,1,0,0,0,0,1,42,L
Data Scientist,137000,171000,3.5,INFICON,"Newton, MA","Bad Ragaz, Switzerland",23,Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million,scientist,1,1,1,0,0,1,0,0,23,L
Data Scientist,137000,171000,2.9,Affinity Solutions,"New York, NY","New York, NY",25,Private,Advertising & Marketing,Business Services,-1,scientist,1,1,1,0,0,0,0,0,25,M
Data Scientist,137000,171000,4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",13,Private,Computer Hardware & Software,Information Technology,-1,scientist,1,1,1,0,0,0,0,0,13,M
Data Scientist / Machine Learning Expert,137000,171000,3.9,Novartis,"Cambridge, MA","Basel, Switzerland",27,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,scientist,0,0,1,0,0,0,0,0,27,L
Data Scientist,137000,171000,3.5,iRobot,"Bedford, MA","Bedford, MA",33,Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion,scientist,0,1,1,0,0,0,0,0,33,L
Staff Data Scientist - Analytics,137000,171000,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",40,Public,Computer Hardware & Software,Information Technology,$2 to $5 billion,scientist,0,0,0,0,0,0,0,0,40,L
Data Scientist,137000,171000,3.6,XSELL Technologies,"Chicago, IL","Chicago, IL",9,Private,Enterprise Software & Network Solutions,Information Technology,-1,scientist,0,1,1,0,0,0,0,1,9,M
Data Scientist,137000,171000,4.5,Novetta,"Herndon, VA","Mc Lean, VA",11,Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million,scientist,1,0,1,0,0,0,0,0,11,L
Data Scientist,137000,171000,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",7,Private,IT Services,Information Technology,-1,scientist,0,1,1,0,0,0,0,0,7,M
"Data Scientist - Statistics, Early Career",137000,171000,3.7,PNNL,"Richland, WA","Richland, WA",58,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion,scientist,1,0,0,0,0,0,0,1,58,L
